./blocksworld probs/probB13.bwp -H 2
iter=1000, depth=4, pathcost=4, Qsize=16684
iter=2000, depth=4, pathcost=4, Qsize=33288
iter=3000, depth=4, pathcost=4, Qsize=49724
iter=4000, depth=5, pathcost=5, Qsize=66036
iter=5000, depth=5, pathcost=5, Qsize=82544
iter=6000, depth=3, pathcost=3, Qsize=99168
iter=7000, depth=3, pathcost=3, Qsize=115424
iter=8000, depth=5, pathcost=5, Qsize=132160
iter=9000, depth=4, pathcost=4, Qsize=149152
iter=10000, depth=4, pathcost=4, Qsize=165932
iter=11000, depth=4, pathcost=4, Qsize=182876
iter=12000, depth=5, pathcost=5, Qsize=199264
iter=13000, depth=3, pathcost=3, Qsize=215612
iter=14000, depth=5, pathcost=5, Qsize=231788
iter=15000, depth=4, pathcost=4, Qsize=247724
iter=16000, depth=5, pathcost=5, Qsize=263196
iter=17000, depth=4, pathcost=4, Qsize=279720
iter=18000, depth=6, pathcost=6, Qsize=295712
iter=19000, depth=5, pathcost=5, Qsize=312380
iter=20000, depth=5, pathcost=5, Qsize=328984
iter=21000, depth=5, pathcost=5, Qsize=345044
iter=22000, depth=3, pathcost=3, Qsize=361396
iter=23000, depth=4, pathcost=4, Qsize=377012
iter=24000, depth=4, pathcost=4, Qsize=393316
iter=25000, depth=5, pathcost=5, Qsize=409284
iter=26000, depth=5, pathcost=5, Qsize=425560
iter=27000, depth=5, pathcost=5, Qsize=441388
iter=28000, depth=7, pathcost=7, Qsize=457248
iter=29000, depth=10, pathcost=10, Qsize=473396
iter=30000, depth=5, pathcost=5, Qsize=488792
iter=31000, depth=5, pathcost=5, Qsize=504380
iter=32000, depth=7, pathcost=7, Qsize=520516
iter=33000, depth=5, pathcost=5, Qsize=537300
iter=34000, depth=7, pathcost=7, Qsize=554092
iter=35000, depth=5, pathcost=5, Qsize=570448
iter=36000, depth=5, pathcost=5, Qsize=586504
iter=37000, depth=5, pathcost=5, Qsize=602264
iter=38000, depth=11, pathcost=11, Qsize=618460
iter=39000, depth=5, pathcost=5, Qsize=635244
iter=40000, depth=5, pathcost=5, Qsize=652680
iter=41000, depth=6, pathcost=6, Qsize=669388
iter=42000, depth=6, pathcost=6, Qsize=685860
iter=43000, depth=4, pathcost=4, Qsize=702968
iter=44000, depth=6, pathcost=6, Qsize=719508
iter=45000, depth=5, pathcost=5, Qsize=736488
iter=46000, depth=5, pathcost=5, Qsize=753128
iter=47000, depth=8, pathcost=8, Qsize=769520
iter=48000, depth=5, pathcost=5, Qsize=785680
iter=49000, depth=6, pathcost=6, Qsize=802192
iter=50000, depth=5, pathcost=5, Qsize=818808
iter=51000, depth=6, pathcost=6, Qsize=835092
iter=52000, depth=6, pathcost=6, Qsize=850880
iter=53000, depth=6, pathcost=6, Qsize=867036
iter=54000, depth=6, pathcost=6, Qsize=883540
iter=55000, depth=5, pathcost=5, Qsize=899728
iter=56000, depth=8, pathcost=8, Qsize=915736
iter=57000, depth=5, pathcost=5, Qsize=931876
iter=58000, depth=7, pathcost=7, Qsize=948816
iter=59000, depth=7, pathcost=7, Qsize=965484
iter=60000, depth=4, pathcost=4, Qsize=981820
iter=61000, depth=5, pathcost=5, Qsize=998128
iter=62000, depth=4, pathcost=4, Qsize=1014672
iter=63000, depth=3, pathcost=3, Qsize=1031148
iter=64000, depth=6, pathcost=6, Qsize=1047188
iter=65000, depth=7, pathcost=7, Qsize=1063252
iter=66000, depth=7, pathcost=7, Qsize=1078872
iter=67000, depth=6, pathcost=6, Qsize=1094604
iter=68000, depth=7, pathcost=7, Qsize=1110736
iter=69000, depth=6, pathcost=6, Qsize=1127328
iter=70000, depth=4, pathcost=4, Qsize=1143644
iter=71000, depth=5, pathcost=5, Qsize=1159632
iter=72000, depth=7, pathcost=7, Qsize=1175596
iter=73000, depth=5, pathcost=5, Qsize=1191240
iter=74000, depth=6, pathcost=6, Qsize=1206764
iter=75000, depth=3, pathcost=3, Qsize=1222360
iter=76000, depth=7, pathcost=7, Qsize=1237640
iter=77000, depth=6, pathcost=6, Qsize=1253288
iter=78000, depth=5, pathcost=5, Qsize=1268980
iter=79000, depth=6, pathcost=6, Qsize=1285020
iter=80000, depth=6, pathcost=6, Qsize=1301416
iter=81000, depth=6, pathcost=6, Qsize=1317320
iter=82000, depth=6, pathcost=6, Qsize=1332928
iter=83000, depth=6, pathcost=6, Qsize=1348812
iter=84000, depth=5, pathcost=5, Qsize=1364684
iter=85000, depth=5, pathcost=5, Qsize=1380700
iter=86000, depth=7, pathcost=7, Qsize=1396456
iter=87000, depth=6, pathcost=6, Qsize=1412260
iter=88000, depth=5, pathcost=5, Qsize=1428312
iter=89000, depth=6, pathcost=6, Qsize=1444664
iter=90000, depth=5, pathcost=5, Qsize=1460328
iter=91000, depth=8, pathcost=8, Qsize=1476588
iter=92000, depth=6, pathcost=6, Qsize=1492424
iter=93000, depth=6, pathcost=6, Qsize=1508524
iter=94000, depth=5, pathcost=5, Qsize=1524336
iter=95000, depth=5, pathcost=5, Qsize=1540168
iter=96000, depth=6, pathcost=6, Qsize=1556288
iter=97000, depth=5, pathcost=5, Qsize=1572548
iter=98000, depth=6, pathcost=6, Qsize=1588488
iter=99000, depth=6, pathcost=6, Qsize=1604212
iter=100000, depth=5, pathcost=5, Qsize=1620112

problem: probs/probB13.bwp | method: Astar with H2 | planlen: FAILED | iters: 100001 | maxq: 1620133

Failed! Exceeded maximum iterations
